HS - Combined  Product Code,HS - Combined  Product Description,HS 2017 Product Code,HS 2017 Product Description
010121,010121 -- (2012-) -- Pure-bred breeding animals,010121,"Horses; live, pure-bred breeding animals"
010129,010129 -- (2012-) -- Other,010129,"Horses; live, other than pure-bred breeding animals"
010130,010130 -- (2012-) - Asses,010130,Asses; live
010190,010190 -- (2002-) - Other,010190,Mules and hinnies; live
010221,010221 -- (2012-) -- Pure-bred breeding animals,010221,"Cattle; live, pure-bred breeding animals"
010229,010229 -- (2012-) -- Other,010229,"Cattle; live, other than pure-bred breeding animals"
010231,010231 -- (2012-) -- Pure-bred breeding animals,010231,"Buffalo; live, pure-bred breeding animals"
010239,010239 -- (2012-) -- Other,010239,"Buffalo; live, other than pure-bred breeding animals"
010290,010290 --  - Other,010290,"Bovine animals; live, other than cattle and buffalo"
010310,010310 --  - Pure-bred breeding animals,010310,"Swine; live, pure-bred breeding animals"
010391,010391 --  -- Weighing less than 50 kg,010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,010392 --  -- Weighing 50 kg or more,010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
010410,010410 --  - Sheep,010410,Sheep; live
010420,010420 --  - Goats,010420,Goats; live
010511,010511 --  -- Fowls of the species Gallus domesticus,010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
010512,010512 -- (1996-) -- Turkeys,010512,"Poultry; live, turkeys, weighing not more than 185g"
010513,010513 -- (2012-) -- Ducks,010513,"Poultry; live, ducks, weighing not more than 185g"
010514,010514 -- (2012-) -- Geese,010514,"Poultry; live, geese, weighing not more than 185g"
010515,010515 -- (2012-) -- Guinea fowls,010515,"Poultry; live, guinea fowls, weighing not more than 185g"
010594,010594 -- (2007-) -- Fowls of the species Gallus domesticus,010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
010599,010599 --  -- Other,010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
010611,010611 -- (2002-) -- Primates,010611,"Mammals; live, primates"
010612,"010612 -- (2002-) -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,010613 -- (2012-) -- Camels and other camelids (Camelidae),010613,"Mammals; live, camels and other camelids (Camelidae)"
010614,010614 -- (2012-) -- Rabbits and hares,010614,"Mammals; live, rabbits and hares"
010619,010619 -- (2002-) -- Other,010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
010620,010620 -- (2002-) - Reptiles (including snakes and turtles),010620,Reptiles; live (including snakes and turtles)
010631,010631 -- (2002-) -- Birds of prey,010631,"Birds; live, birds of prey"
010632,"010632 -- (2002-) -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,"Birds; live, Psittaciformes"
010633,010633 -- (2012-) -- Ostriches; emus (Dromaius novaehollandiae),010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)"
010639,010639 -- (2002-) -- Other,010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
010641,010641 -- (2012-) -- Bees,010641,"Insects; live, bees"
010649,010649 -- (2012-) -- Other,010649,"Insects; live, other than bees"
010690,010690 -- (2002-) - Other,010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
020110,020110 --  - Carcases and half-carcases,020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,020120 --  - Other cuts with bone in,020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,020130 --  - Boneless,020130,"Meat; of bovine animals, boneless cuts, fresh or chilled"
020210,020210 --  - Carcases and half-carcases,020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen"
020220,020220 --  - Other cuts with bone in,020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,020230 --  - Boneless,020230,"Meat; of bovine animals, boneless cuts, frozen"
020311,020311 --  -- Carcases and half-carcases,020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled"
020312,"020312 --  -- Hams, shoulders and cuts thereof, with bone in",020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,020319 --  -- Other,020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled"
020321,020321 --  -- Carcases and half-carcases,020321,"Meat; of swine, carcasses and half-carcasses, frozen"
020322,"020322 --  -- Hams, shoulders and cuts thereof, with bone in",020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,020329 --  -- Other,020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen"
020410,"020410 --  - Carcases and half-carcases of lamb, fresh or chilled",020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,020421 --  -- Carcases and half-carcases,020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,020422 --  -- Other cuts with bone in,020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,020423 --  -- Boneless,020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
