HS 2017 Product Code,HS 2017 Product Description,HS 2012 Product Code,HS 2012 Product Description
010121,"Horses; live, pure-bred breeding animals",010121,Pure-bred breeding animals
010129,"Horses; live, other than pure-bred breeding animals",010129,Other
010130,Asses; live,010130,Asses
010190,Mules and hinnies; live,010190,Other
010221,"Cattle; live, pure-bred breeding animals",010221,Pure-bred breeding animals
010229,"Cattle; live, other than pure-bred breeding animals",010229,Other
010231,"Buffalo; live, pure-bred breeding animals",010231,Pure-bred breeding animals
010239,"Buffalo; live, other than pure-bred breeding animals",010239,Other
010290,"Bovine animals; live, other than cattle and buffalo",010290,Other
010310,"Swine; live, pure-bred breeding animals",010310,Pure-bred breeding animals
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",010391,Weighing less than 50 kg
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",010392,Weighing 50 kg or more
010410,Sheep; live,010410,Sheep
010420,Goats; live,010420,Goats
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",010511,Fowls of the species Gallus domesticus
010512,"Poultry; live, turkeys, weighing not more than 185g",010512,Turkeys
010513,"Poultry; live, ducks, weighing not more than 185g",010513,Ducks
010514,"Poultry; live, geese, weighing not more than 185g",010514,Geese
010515,"Poultry; live, guinea fowls, weighing not more than 185g",010515,Guinea fowls
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",010594,Fowls of the species Gallus domesticus
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",010599,Other
010611,"Mammals; live, primates",010611,Primates
010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,"Mammals; live, camels and other camelids (Camelidae)",010613,Camels and other camelids (Camelidae)
010614,"Mammals; live, rabbits and hares",010614,Rabbits and hares
010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",010619,Other
010620,Reptiles; live (including snakes and turtles),010620,Reptiles (including snakes and turtles)
010631,"Birds; live, birds of prey",010631,Birds of prey
010632,"Birds; live, Psittaciformes",010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",010633,Ostriches; emus (Dromaius novaehollandiae)
010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",010639,Other
010641,"Insects; live, bees",010641,Bees
010649,"Insects; live, other than bees",010649,Other
010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",010690,Other
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",020110,Carcasses and half-carcasses
020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",020120,Other cuts with bone in
020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",020130,Boneless
020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",020210,Carcasses and half-carcasses
020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",020220,Other cuts with bone in
020230,"Meat; of bovine animals, boneless cuts, frozen",020230,Boneless
020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",020311,Carcasses and half-carcasses
020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",020312,"Hams, shoulders and cuts thereof, with bone in"
020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",020319,Other
020321,"Meat; of swine, carcasses and half-carcasses, frozen",020321,Carcasses and half-carcasses
020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",020322,"Hams, shoulders and cuts thereof, with bone in"
020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",020329,Other
020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",020410,"Carcasses and half-carcasses of lamb, fresh or chilled"
020421,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",020421,Carcasses and half-carcasses
020422,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",020422,Other cuts with bone in
020423,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",020423,Boneless
020430,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",020430,"Carcasses and half-carcasses of lamb, frozen"
020441,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",020441,Carcasses and half-carcasses
020442,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",020442,Other cuts with bone in
020443,"Meat; of sheep (including lamb), boneless cuts, frozen",020443,Boneless
020450,"Meat; of goats, fresh, chilled or frozen",020450,Meat of goats
020500,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
020610,"Offal, edible; of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled"
020621,"Offal, edible; of bovine animals, tongues, frozen",020621,Tongues
020622,"Offal, edible; of bovine animals, livers, frozen",020622,Livers
020629,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",020629,Other
020630,"Offal, edible; of swine, fresh or chilled",020630,"Of swine, fresh or chilled"
020641,"Offal, edible; of swine, livers, frozen",020641,Livers
020649,"Offal, edible; of swine, (other than livers), frozen",020649,Other
020680,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",020680,"Other, fresh or chilled"
020690,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",020690,"Other, frozen"
020711,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",020711,"Not cut in pieces, fresh or chilled"
020712,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",020712,"Not cut in pieces, frozen"
020713,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",020713,"Cuts and offal, fresh or chilled"
020714,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",020714,"Cuts and offal, frozen"
020724,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",020724,"Not cut in pieces, fresh or chilled"
020725,"Meat and edible offal; of turkeys, not cut in pieces, frozen",020725,"Not cut in pieces, frozen"
020726,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",020726,"Cuts and offal, fresh or chilled"
